Well,Well Position,Omit,Sample_Name,Target_Name,Task,Reporter,Quencher,CT,Ct_Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,Tm1,Tm2,Tm3,MTP,EXPFAIL,HIGHSD,NOAMP,PRFDROP
1,A1,0,BAT_1,HPRT,UNKNOWN,SYBR,None,22.789,22.643,0.152,,,,,,,,1,1.095,1,1,40,,77.586,,,N,N,N,N,N
2,A2,0,BAT_1,HPRT,UNKNOWN,SYBR,None,22.655,22.643,0.152,,,,,,,,1,1.095,1,1,40,,77.586,,,N,N,N,N,N
3,A3,0,BAT_1,HPRT,UNKNOWN,SYBR,None,22.486,22.643,0.152,,,,,,,,1,1.095,1,1,40,,77.586,,,N,N,N,N,N
4,A4,0,BAT_2,HPRT,UNKNOWN,SYBR,None,22.899,22.89,0.086,,,,,,,,1,1.095,1,1,40,,77.586,,,N,N,N,N,N
5,A5,0,BAT_2,HPRT,UNKNOWN,SYBR,None,22.971,22.89,0.086,,,,,,,,1,1.095,1,1,40,,77.586,,,N,N,N,N,N
6,A6,0,BAT_2,HPRT,UNKNOWN,SYBR,None,22.8,22.89,0.086,,,,,,,,1,1.095,1,1,40,,77.586,,,N,N,N,N,N
7,A7,0,BAT_3,HPRT,UNKNOWN,SYBR,None,22.498,22.496,0.137,,,,,,,,1,1.095,1,1,40,,77.586,,,N,N,N,N,N
8,A8,0,BAT_3,HPRT,UNKNOWN,SYBR,None,22.358,22.496,0.137,,,,,,,,1,1.095,1,1,40,,77.454,,,N,N,N,N,N
9,A9,0,BAT_3,HPRT,UNKNOWN,SYBR,None,22.632,22.496,0.137,,,,,,,,1,1.095,1,1,40,,77.586,,,N,N,N,N,N
10,A10,0,BAT_4,HPRT,UNKNOWN,SYBR,None,23.632,23.584,0.073,,,,,,,,1,1.095,1,1,40,,77.586,,,N,N,N,N,N
11,A11,0,BAT_4,HPRT,UNKNOWN,SYBR,None,23.62,23.584,0.073,,,,,,,,1,1.095,1,1,40,,77.586,,,N,N,N,N,N
12,A12,0,BAT_4,HPRT,UNKNOWN,SYBR,None,23.5,23.584,0.073,,,,,,,,1,1.095,1,1,40,,77.586,,,N,N,N,N,N
13,A13,0,BAT_5,HPRT,UNKNOWN,SYBR,None,22.733,22.802,0.068,,,,,,,,1,1.095,1,1,40,,77.454,,,N,N,N,N,N
14,A14,0,BAT_5,HPRT,UNKNOWN,SYBR,None,22.87,22.802,0.068,,,,,,,,1,1.095,1,1,40,,77.454,,,N,N,N,N,N
15,A15,0,BAT_5,HPRT,UNKNOWN,SYBR,None,22.803,22.802,0.068,,,,,,,,1,1.095,1,1,40,,77.454,,,N,N,N,N,N
16,A16,0,BAT_6,HPRT,UNKNOWN,SYBR,None,23.449,23.397,0.064,,,,,,,,1,1.095,1,1,40,,77.454,,,N,N,N,N,N
17,A17,0,BAT_6,HPRT,UNKNOWN,SYBR,None,23.325,23.397,0.064,,,,,,,,1,1.095,1,1,40,,77.454,,,N,N,N,N,N
18,A18,0,BAT_6,HPRT,UNKNOWN,SYBR,None,23.417,23.397,0.064,,,,,,,,1,1.095,1,1,40,,77.454,,,N,N,N,N,N
19,A19,0,BAT_7,HPRT,UNKNOWN,SYBR,None,22.189,22.056,0.118,,,,,,,,1,1.095,1,1,40,,77.454,,,N,N,N,N,N
20,A20,0,BAT_7,HPRT,UNKNOWN,SYBR,None,21.96,22.056,0.118,,,,,,,,1,1.095,1,1,40,,77.454,,,N,N,N,N,N
21,A21,0,BAT_7,HPRT,UNKNOWN,SYBR,None,22.021,22.056,0.118,,,,,,,,1,1.095,1,1,40,,77.454,,,N,N,N,N,N
22,A22,0,BAT_8,HPRT,UNKNOWN,SYBR,None,22.134,22.116,0.08,,,,,,,,1,1.095,1,1,40,,77.322,,,N,N,N,N,N
23,A23,0,BAT_8,HPRT,UNKNOWN,SYBR,None,22.028,22.116,0.08,,,,,,,,1,1.095,1,1,40,,77.322,,,N,N,N,N,N
24,A24,0,BAT_8,HPRT,UNKNOWN,SYBR,None,22.185,22.116,0.08,,,,,,,,1,1.095,1,1,40,,77.454,,,N,N,N,N,N
25,B1,0,BAT_9,HPRT,UNKNOWN,SYBR,None,28.54,27.851,0.628,,,,,,,,1,1.095,1,1,40,,77.454,,,N,N,Y,N,N
26,B2,0,BAT_9,HPRT,UNKNOWN,SYBR,None,27.702,27.851,0.628,,,,,,,,1,1.095,1,1,40,,77.454,,,N,N,Y,N,N
27,B3,0,BAT_9,HPRT,UNKNOWN,SYBR,None,27.312,27.851,0.628,,,,,,,,1,1.095,1,1,40,,77.454,,,N,N,Y,N,N
28,B4,0,BAT_10,HPRT,UNKNOWN,SYBR,None,22.453,22.285,0.149,,,,,,,,1,1.095,1,1,40,,77.454,,,N,N,N,N,N
29,B5,0,BAT_10,HPRT,UNKNOWN,SYBR,None,22.233,22.285,0.149,,,,,,,,1,1.095,1,1,40,,77.586,,,N,N,N,N,N
30,B6,0,BAT_10,HPRT,UNKNOWN,SYBR,None,22.169,22.285,0.149,,,,,,,,1,1.095,1,1,40,,77.454,,,N,N,N,N,N
31,B7,0,BAT_11,HPRT,UNKNOWN,SYBR,None,22.753,22.707,0.04,,,,,,,,1,1.095,1,1,40,,77.454,,,N,N,N,N,N
32,B8,0,BAT_11,HPRT,UNKNOWN,SYBR,None,22.679,22.707,0.04,,,,,,,,1,1.095,1,1,40,,77.586,,,N,N,N,N,N
33,B9,0,BAT_11,HPRT,UNKNOWN,SYBR,None,22.689,22.707,0.04,,,,,,,,1,1.095,1,1,40,,77.586,,,N,N,N,N,N
34,B10,0,BAT_12,HPRT,UNKNOWN,SYBR,None,22.321,22.292,0.063,,,,,,,,1,1.095,1,1,40,,77.454,,,N,N,N,N,N
35,B11,0,BAT_12,HPRT,UNKNOWN,SYBR,None,22.335,22.292,0.063,,,,,,,,1,1.095,1,1,40,,77.586,,,N,N,N,N,N
36,B12,0,BAT_12,HPRT,UNKNOWN,SYBR,None,22.22,22.292,0.063,,,,,,,,1,1.095,1,1,40,,77.586,,,N,N,N,N,N
37,B13,0,BAT_13,HPRT,UNKNOWN,SYBR,None,21.043,21.118,0.083,,,,,,,,1,1.095,1,1,40,,77.586,,,N,N,N,N,N
38,B14,0,BAT_13,HPRT,UNKNOWN,SYBR,None,21.104,21.118,0.083,,,,,,,,1,1.095,1,1,40,,77.454,,,N,N,N,N,N
39,B15,0,BAT_13,HPRT,UNKNOWN,SYBR,None,21.208,21.118,0.083,,,,,,,,1,1.095,1,1,40,,77.454,,,N,N,N,N,N
40,B16,0,BAT_14,HPRT,UNKNOWN,SYBR,None,22.758,22.801,0.108,,,,,,,,1,1.095,1,1,40,,77.454,,,N,N,N,N,N
41,B17,0,BAT_14,HPRT,UNKNOWN,SYBR,None,22.722,22.801,0.108,,,,,,,,1,1.095,1,1,40,,77.454,,,N,N,N,N,N
42,B18,0,BAT_14,HPRT,UNKNOWN,SYBR,None,22.925,22.801,0.108,,,,,,,,1,1.095,1,1,40,,77.454,,,N,N,N,N,N
43,B19,0,BAT_15,HPRT,UNKNOWN,SYBR,None,24.526,24.483,0.104,,,,,,,,1,1.095,1,1,40,,77.322,,,N,N,N,N,N
44,B20,0,BAT_15,HPRT,UNKNOWN,SYBR,None,24.364,24.483,0.104,,,,,,,,1,1.095,1,1,40,,77.322,,,N,N,N,N,N
45,B21,0,BAT_15,HPRT,UNKNOWN,SYBR,None,24.557,24.483,0.104,,,,,,,,1,1.095,1,1,40,,77.322,,,N,N,N,N,N
46,B22,0,NTC,HPRT,UNKNOWN,SYBR,None,,,,,,,,,,,1,1.095,1,1,40,,61.21,77.057,88.151,Y,Y,N,Y,N
47,B23,0,NTC,HPRT,UNKNOWN,SYBR,None,,,,,,,,,,,1,1.095,1,1,40,,61.077,,,N,N,N,N,N
49,C1,0,BAT_1,DIO2,UNKNOWN,SYBR,None,27.713,27.65,0.153,,,,,,,,1,0.975,1,1,40,,84.717,,,N,N,N,N,N
50,C2,0,BAT_1,DIO2,UNKNOWN,SYBR,None,27.475,27.65,0.153,,,,,,,,1,0.975,1,1,40,,84.717,,,N,N,N,N,N
51,C3,0,BAT_1,DIO2,UNKNOWN,SYBR,None,27.762,27.65,0.153,,,,,,,,1,0.975,1,1,40,,84.717,,,N,N,N,N,N
52,C4,0,BAT_2,DIO2,UNKNOWN,SYBR,None,27.426,27.582,0.14,,,,,,,,1,0.975,1,1,40,,84.717,,,N,N,N,N,N
53,C5,0,BAT_2,DIO2,UNKNOWN,SYBR,None,27.623,27.582,0.14,,,,,,,,1,0.975,1,1,40,,84.717,,,N,N,N,N,N
54,C6,0,BAT_2,DIO2,UNKNOWN,SYBR,None,27.696,27.582,0.14,,,,,,,,1,0.975,1,1,40,,84.717,,,N,N,N,N,N
55,C7,0,BAT_3,DIO2,UNKNOWN,SYBR,None,27.304,27.233,0.066,,,,,,,,1,0.975,1,1,40,,84.717,,,N,N,N,N,N
56,C8,0,BAT_3,DIO2,UNKNOWN,SYBR,None,27.174,27.233,0.066,,,,,,,,1,0.975,1,1,40,,84.717,,,N,N,N,N,N
57,C9,0,BAT_3,DIO2,UNKNOWN,SYBR,None,27.221,27.233,0.066,,,,,,,,1,0.975,1,1,40,,84.717,,,N,N,N,N,N
58,C10,0,BAT_4,DIO2,UNKNOWN,SYBR,None,27.07,26.891,0.158,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,N
59,C11,0,BAT_4,DIO2,UNKNOWN,SYBR,None,26.834,26.891,0.158,,,,,,,,1,0.975,1,1,40,,84.717,,,N,N,N,N,N
60,C12,0,BAT_4,DIO2,UNKNOWN,SYBR,None,26.768,26.891,0.158,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,N
61,C13,0,BAT_5,DIO2,UNKNOWN,SYBR,None,25.888,25.874,0.024,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,N
62,C14,0,BAT_5,DIO2,UNKNOWN,SYBR,None,25.888,25.874,0.024,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,N
63,C15,0,BAT_5,DIO2,UNKNOWN,SYBR,None,25.846,25.874,0.024,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,N
64,C16,0,BAT_6,DIO2,UNKNOWN,SYBR,None,26.999,27.109,0.111,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,N
65,C17,0,BAT_6,DIO2,UNKNOWN,SYBR,None,27.106,27.109,0.111,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,Y
66,C18,0,BAT_6,DIO2,UNKNOWN,SYBR,None,27.221,27.109,0.111,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,N
67,C19,0,BAT_7,DIO2,UNKNOWN,SYBR,None,26.046,26.125,0.143,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,N
68,C20,0,BAT_7,DIO2,UNKNOWN,SYBR,None,26.038,26.125,0.143,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,N
69,C21,0,BAT_7,DIO2,UNKNOWN,SYBR,None,26.29,26.125,0.143,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,N
70,C22,0,BAT_8,DIO2,UNKNOWN,SYBR,None,26.276,26.113,0.178,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,N
71,C23,0,BAT_8,DIO2,UNKNOWN,SYBR,None,26.14,26.113,0.178,,,,,,,,1,0.975,1,1,40,,84.453,,,N,N,N,N,N
72,C24,0,BAT_8,DIO2,UNKNOWN,SYBR,None,25.923,26.113,0.178,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,N
73,D1,0,BAT_9,DIO2,UNKNOWN,SYBR,None,29.93,30.064,0.182,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,N
74,D2,0,BAT_9,DIO2,UNKNOWN,SYBR,None,30.271,30.064,0.182,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,N
75,D3,0,BAT_9,DIO2,UNKNOWN,SYBR,None,29.991,30.064,0.182,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,N
76,D4,0,BAT_10,DIO2,UNKNOWN,SYBR,None,26.427,26.454,0.024,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,N
77,D5,0,BAT_10,DIO2,UNKNOWN,SYBR,None,26.474,26.454,0.024,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,N
78,D6,0,BAT_10,DIO2,UNKNOWN,SYBR,None,26.462,26.454,0.024,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,N
79,D7,0,BAT_11,DIO2,UNKNOWN,SYBR,None,27.168,27.097,0.07,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,N
80,D8,0,BAT_11,DIO2,UNKNOWN,SYBR,None,27.029,27.097,0.07,,,,,,,,1,0.975,1,1,40,,84.717,,,N,N,N,N,N
81,D9,0,BAT_11,DIO2,UNKNOWN,SYBR,None,27.092,27.097,0.07,,,,,,,,1,0.975,1,1,40,,84.717,,,N,N,N,N,N
82,D10,0,BAT_12,DIO2,UNKNOWN,SYBR,None,26.665,26.631,0.162,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,N
83,D11,0,BAT_12,DIO2,UNKNOWN,SYBR,None,26.455,26.631,0.162,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,N
84,D12,0,BAT_12,DIO2,UNKNOWN,SYBR,None,26.773,26.631,0.162,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,N
85,D13,0,BAT_13,DIO2,UNKNOWN,SYBR,None,25.413,25.459,0.051,,,,,,,,1,0.975,1,1,40,,84.717,,,N,N,N,N,N
86,D14,0,BAT_13,DIO2,UNKNOWN,SYBR,None,25.514,25.459,0.051,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,N
87,D15,0,BAT_13,DIO2,UNKNOWN,SYBR,None,25.452,25.459,0.051,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,N
88,D16,0,BAT_14,DIO2,UNKNOWN,SYBR,None,27.511,27.379,0.144,,,,,,,,1,0.975,1,1,40,,84.321,,,N,N,N,N,N
89,D17,0,BAT_14,DIO2,UNKNOWN,SYBR,None,27.402,27.379,0.144,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,N
90,D18,0,BAT_14,DIO2,UNKNOWN,SYBR,None,27.225,27.379,0.144,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,N
91,D19,0,BAT_15,DIO2,UNKNOWN,SYBR,None,28.488,28.501,0.069,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,N
92,D20,0,BAT_15,DIO2,UNKNOWN,SYBR,None,28.44,28.501,0.069,,,,,,,,1,0.975,1,1,40,,84.585,,,N,N,N,N,N
93,D21,0,BAT_15,DIO2,UNKNOWN,SYBR,None,28.576,28.501,0.069,,,,,,,,1,0.975,1,1,40,,84.453,,,N,N,N,N,N
94,D22,0,NTC,DIO2,UNKNOWN,SYBR,None,,,,,,,,,,,1,0.975,1,1,40,,63.587,,,N,N,N,N,N
95,D23,0,NTC,DIO2,UNKNOWN,SYBR,None,,,,,,,,,,,1,0.975,1,1,40,,81.812,64.907,,Y,N,N,N,N
97,E1,0,BAT_1,Elovl3,UNKNOWN,SYBR,None,26.391,26.416,0.06,,,,,,,,1,1.219,1,1,40,,81.944,,,N,N,N,N,N
98,E2,0,BAT_1,Elovl3,UNKNOWN,SYBR,None,26.485,26.416,0.06,,,,,,,,1,1.219,1,1,40,,81.944,,,N,N,N,N,N
99,E3,0,BAT_1,Elovl3,UNKNOWN,SYBR,None,26.373,26.416,0.06,,,,,,,,1,1.219,1,1,40,,81.944,,,N,N,N,N,N
100,E4,0,BAT_2,Elovl3,UNKNOWN,SYBR,None,27.032,26.951,0.072,,,,,,,,1,1.219,1,1,40,,81.944,,,N,N,N,N,N
101,E5,0,BAT_2,Elovl3,UNKNOWN,SYBR,None,26.893,26.951,0.072,,,,,,,,1,1.219,1,1,40,,81.944,,,N,N,N,N,N
102,E6,0,BAT_2,Elovl3,UNKNOWN,SYBR,None,26.927,26.951,0.072,,,,,,,,1,1.219,1,1,40,,81.944,,,N,N,N,N,N
103,E7,0,BAT_3,Elovl3,UNKNOWN,SYBR,None,26.218,26.057,0.141,,,,,,,,1,1.219,1,1,40,,81.944,,,N,N,N,N,N
104,E8,0,BAT_3,Elovl3,UNKNOWN,SYBR,None,25.953,26.057,0.141,,,,,,,,1,1.219,1,1,40,,81.944,,,N,N,N,N,N
105,E9,0,BAT_3,Elovl3,UNKNOWN,SYBR,None,26,26.057,0.141,,,,,,,,1,1.219,1,1,40,,81.944,,,N,N,N,N,N
106,E10,0,BAT_4,Elovl3,UNKNOWN,SYBR,None,26.373,26.303,0.144,,,,,,,,1,1.219,1,1,40,,81.944,,,N,N,N,N,N
107,E11,0,BAT_4,Elovl3,UNKNOWN,SYBR,None,26.398,26.303,0.144,,,,,,,,1,1.219,1,1,40,,81.944,,,N,N,N,N,N
108,E12,0,BAT_4,Elovl3,UNKNOWN,SYBR,None,26.138,26.303,0.144,,,,,,,,1,1.219,1,1,40,,81.944,,,N,N,N,N,N
109,E13,0,BAT_5,Elovl3,UNKNOWN,SYBR,None,25.296,25.308,0.092,,,,,,,,1,1.219,1,1,40,,81.812,,,N,N,N,N,N
110,E14,0,BAT_5,Elovl3,UNKNOWN,SYBR,None,25.222,25.308,0.092,,,,,,,,1,1.219,1,1,40,,81.944,,,N,N,N,N,N
111,E15,0,BAT_5,Elovl3,UNKNOWN,SYBR,None,25.405,25.308,0.092,,,,,,,,1,1.219,1,1,40,,81.812,,,N,N,N,N,N
112,E16,0,BAT_6,Elovl3,UNKNOWN,SYBR,None,26.207,26.16,0.126,,,,,,,,1,1.219,1,1,40,,81.812,,,N,N,N,N,N
113,E17,0,BAT_6,Elovl3,UNKNOWN,SYBR,None,26.255,26.16,0.126,,,,,,,,1,1.219,1,1,40,,81.812,,,N,N,N,N,N
114,E18,0,BAT_6,Elovl3,UNKNOWN,SYBR,None,26.018,26.16,0.126,,,,,,,,1,1.219,1,1,40,,81.812,,,N,N,N,N,N
115,E19,0,BAT_7,Elovl3,UNKNOWN,SYBR,None,23.877,23.889,0.031,,,,,,,,1,1.219,1,1,40,,81.812,,,N,N,N,N,N
116,E20,0,BAT_7,Elovl3,UNKNOWN,SYBR,None,23.866,23.889,0.031,,,,,,,,1,1.219,1,1,40,,81.812,,,N,N,N,N,N
117,E21,0,BAT_7,Elovl3,UNKNOWN,SYBR,None,23.924,23.889,0.031,,,,,,,,1,1.219,1,1,40,,81.812,,,N,N,N,N,N
118,E22,0,BAT_8,Elovl3,UNKNOWN,SYBR,None,24.302,24.249,0.053,,,,,,,,1,1.219,1,1,40,,81.812,,,N,N,N,N,N
119,E23,0,BAT_8,Elovl3,UNKNOWN,SYBR,None,24.25,24.249,0.053,,,,,,,,1,1.219,1,1,40,,81.812,,,N,N,N,N,N
120,E24,0,BAT_8,Elovl3,UNKNOWN,SYBR,None,24.195,24.249,0.053,,,,,,,,1,1.219,1,1,40,,81.812,,,N,N,N,N,N
121,F1,0,BAT_9,Elovl3,UNKNOWN,SYBR,None,28.733,28.731,0.207,,,,,,,,1,1.219,1,1,40,,81.944,,,N,N,N,N,N
122,F2,0,BAT_9,Elovl3,UNKNOWN,SYBR,None,28.936,28.731,0.207,,,,,,,,1,1.219,1,1,40,,81.944,,,N,N,N,N,N
123,F3,0,BAT_9,Elovl3,UNKNOWN,SYBR,None,28.523,28.731,0.207,,,,,,,,1,1.219,1,1,40,,81.944,,,N,N,N,N,N
124,F4,0,BAT_10,Elovl3,UNKNOWN,SYBR,None,23.597,23.547,0.044,,,,,,,,1,1.219,1,1,40,,81.944,,,N,N,N,N,N
125,F5,0,BAT_10,Elovl3,UNKNOWN,SYBR,None,23.514,23.547,0.044,,,,,,,,1,1.219,1,1,40,,81.944,,,N,N,N,N,N
126,F6,0,BAT_10,Elovl3,UNKNOWN,SYBR,None,23.53,23.547,0.044,,,,,,,,1,1.219,1,1,40,,81.944,,,N,N,N,N,N
127,F7,0,BAT_11,Elovl3,UNKNOWN,SYBR,None,24.068,24.066,0.092,,,,,,,,1,1.219,1,1,40,,81.944,,,N,N,N,N,N
128,F8,0,BAT_11,Elovl3,UNKNOWN,SYBR,None,24.157,24.066,0.092,,,,,,,,1,1.219,1,1,40,,81.944,,,N,N,N,N,N
129,F9,0,BAT_11,Elovl3,UNKNOWN,SYBR,None,23.973,24.066,0.092,,,,,,,,1,1.219,1,1,40,,81.944,,,N,N,N,N,N
130,F10,0,BAT_12,Elovl3,UNKNOWN,SYBR,None,23.471,23.426,0.04,,,,,,,,1,1.219,1,1,40,,81.944,,,N,N,N,N,N
131,F11,0,BAT_12,Elovl3,UNKNOWN,SYBR,None,23.415,23.426,0.04,,,,,,,,1,1.219,1,1,40,,81.944,,,N,N,N,N,N
132,F12,0,BAT_12,Elovl3,UNKNOWN,SYBR,None,23.393,23.426,0.04,,,,,,,,1,1.219,1,1,40,,81.944,,,N,N,N,N,N
133,F13,0,BAT_13,Elovl3,UNKNOWN,SYBR,None,22.035,21.901,0.115,,,,,,,,1,1.219,1,1,40,,81.944,,,N,N,N,N,N
134,F14,0,BAT_13,Elovl3,UNKNOWN,SYBR,None,21.832,21.901,0.115,,,,,,,,1,1.219,1,1,40,,81.944,,,N,N,N,N,N
135,F15,0,BAT_13,Elovl3,UNKNOWN,SYBR,None,21.838,21.901,0.115,,,,,,,,1,1.219,1,1,40,,81.944,,,N,N,N,N,N
136,F16,0,BAT_14,Elovl3,UNKNOWN,SYBR,None,24.212,24.063,0.152,,,,,,,,1,1.219,1,1,40,,81.812,,,N,N,N,N,N
137,F17,0,BAT_14,Elovl3,UNKNOWN,SYBR,None,24.07,24.063,0.152,,,,,,,,1,1.219,1,1,40,,81.812,,,N,N,N,N,N
138,F18,0,BAT_14,Elovl3,UNKNOWN,SYBR,None,23.908,24.063,0.152,,,,,,,,1,1.219,1,1,40,,81.68,,,N,N,N,N,N
139,F19,0,BAT_15,Elovl3,UNKNOWN,SYBR,None,25.328,25.406,0.189,,,,,,,,1,1.219,1,1,40,,81.812,,,N,N,N,N,N
140,F20,0,BAT_15,Elovl3,UNKNOWN,SYBR,None,25.621,25.406,0.189,,,,,,,,1,1.219,1,1,40,,81.812,,,N,N,N,N,N
141,F21,0,BAT_15,Elovl3,UNKNOWN,SYBR,None,25.267,25.406,0.189,,,,,,,,1,1.219,1,1,40,,81.812,,,N,N,N,N,N
142,F22,0,NTC,Elovl3,UNKNOWN,SYBR,None,,,,,,,,,,,1,1.219,1,1,40,,81.812,68.077,,Y,N,N,N,N
143,F23,0,NTC,Elovl3,UNKNOWN,SYBR,None,,,,,,,,,,,1,1.219,1,1,40,,81.68,62.926,90.132,Y,Y,N,Y,N
